name,latitude,longitude,hae,id
Arizona State University,33.421944444,-111.940000000,0.0,33111
Australian National University,-35.277694444,149.118500000,0.0,35149
Boston University,42.349722222,-71.100277778,0.0,42071
Brown University,41.828611111,-71.399444444,0.0,41071
California Institute of Technology,34.137222222,-118.125000000,0.0,34118
Carnegie Mellon University,40.444722222,-79.945000000,0.0,40079
Columbia University,40.808055556,-73.962222222,0.0,40073
Cornell University,42.448888889,-76.478611111,0.0,42076
Duke University,36.066666667,-78.937500000,0.0,36078
Ecole Normale Superieure Paris,48.841666667,2.343938889,0.0,48002
Emory University,33.791944444,-84.323611111,0.0,33084
EPF Lausanne,46.520555556,6.568861111,0.0,46006
ETH Zurich,47.376388889,8.548055556,0.0,47008
Fudan University,31.297500000,121.503611111,0.0,31121
Georgia Institute of Technology,33.771666667,-84.392777778,0.0,33085
Harvard University,42.377777778,-71.116666667,0.0,42072
Hebrew University of Jerusalem,31.794611111,35.241388889,0.0,31035
Heidelberg University,41.114444444,-83.166805556,0.0,41083
Imperial College London,51.498805556,-0.174888889,0.0,51000
Johns Hopkins University,39.298055556,-76.594444444,0.0,39076
KAIST,36.365833333,127.363888889,0.0,36127
Karolinska Institute,59.348111111,18.023694444,0.0,59018
King Abdulaziz University,21.494750000,39.253055556,0.0,21039
King Saud University,24.721944444,46.627777778,0.0,24046
Kings College London,51.505555556,-0.112058889,0.0,51001
Korea University,37.589166667,127.033055556,0.0,37127
KU Leuven,50.878333333,4.699805556,0.0,50004
Kyoto University,35.025833333,135.775000000,0.0,35135
Lund University,55.709166667,13.200500000,0.0,55013
Massachusetts Institute of Technology,42.359444444,-71.093888889,0.0,42073
McGill University,45.504805556,-73.577194444,0.0,45073
Monash University,-38.311388889,146.430000000,0.0,38146
Moscow State University,55.702777778,37.530555556,0.0,55037
Nagoya University,35.154722222,136.966944444,0.0,35136
Nanyang Technological University,1.344569444,103.681111111,0.0,01103
National Autonomous University of Mexico,19.332500000,-99.184805556,0.0,19099
National Taiwan University,25.015916667,121.536666667,0.0,25121
National University of Singapore,1.296319444,103.775000000,0.0,01104
New York University,40.730000000,-73.995000000,0.0,40074
Northwestern University,42.056944444,-87.677222222,0.0,42087
Osaka University,34.825555556,135.520000000,0.0,34135
